Dataset,HyperCD*,HyperCD++,HyperCD+,HyperCD,Local-core(OPT)
HI,0.0428213,0.28,0.45174,1.08608333333333,0.15035
CO,0.339168,26.88,0.528399,2.47499666666667,2.04149
GE,0.336927,0.97,2.01156,6.04092333333333,2.36008
DB,0.849404,2.46,7.42804,14.3398,7.93869
DF,1.64071,3.88,18.0378,29.3169,23.6289
THS,5.62888,12.48,48.3073,96.2332,80.0381
AM,4.43566,18.07,42.0156,141.546666666667,27.9358
TAS,31.427,28800,71.915,604.614,124.686
AMZ,22.868,172.0,194.058,11056.3,439.471
SOA,3.98121,1241.56,17.7961,0,0
POW-S,71.941,247.98,562.627,0,0
POW-L,2153.31,28800,28800,0,0
