Iter,HyperCD*,RUC,LB,SUC
1,86772,86772,86772,45385
2,22981,22981,86681,22025
3,11752,11752,86679,10999
4,6978,6978,86679,6396
5,4805,4805,86679,4345
6,3734,3734,86679,3300
7,3063,3063,86679,2696
8,2628,2628,86679,2351
9,2409,2409,86679,2116
10,2240,2240,86679,1932
11,2111,2111,86679,1808
12,2030,2030,86679,1664
13,1912,1912,86679,1491
14,1856,1856,86679,1341
15,1817,1817,86679,1137
16,1759,1759,86679,1011
17,1717,1717,86679,728
18,1635,1635,86679,884
19,1582,1582,86679,745
20,1559,1559,86679,340
21,1547,1547,86679,368
22,1470,1470,86679,598
23,1455,1455,86679,175
24,1373,1373,86679,197
25,1159,1159,86679,288
26,876,876,86679,426
27,472,472,86679,349
28,79,79,86679,6
29,47,47,86679,4
30,83,83,86679,11
31,74,74,86679,1
32,4,4,86679,0
