Iter,HyperCD*,RUC,LB,SUC
1,1100482,1100482,1100482,938538
2,360209,420997,655945,333100
3,178266,209801,575891,146144
4,95652,112127,555058,66970
5,53735,62825,548314,30701
6,31560,36605,545878,14625
7,19595,22652,544694,7427
8,12168,14020,544058,4125
9,8138,9397,543720,2465
10,5409,6207,543499,1444
11,3790,4333,543370,943
12,2695,3040,543299,645
13,2066,2316,543263,469
14,1431,1629,543239,353
15,1146,1318,543211,335
16,1017,1178,543186,331
17,875,1041,543155,268
18,655,793,543135,173
19,498,607,543128,122
20,345,407,543119,65
21,244,282,543115,39
22,146,172,543110,22
23,122,131,543107,23
24,114,123,543105,26
25,132,146,543103,22
26,88,97,543101,16
27,86,94,543099,11
28,48,53,543098,10
29,58,64,543097,12
30,61,67,543097,7
31,37,41,543097,9
32,27,34,543095,1
33,0,0,543094,0
