Iter,HyperCD*,RUC,LB,SUC
1,2633954,2633954,2633954,2356555
2,1094186,1386441,1460757,1087684
3,533485,700268,978837,519842
4,326717,386445,848355,309329
5,211932,235531,801861,194201
6,137316,148174,782489,122429
7,88078,93378,773842,76831
8,54662,57361,769352,46674
9,33069,34567,767091,27869
10,19573,20359,765955,16336
11,11771,12195,765401,9752
12,7006,7251,765036,5763
13,4146,4273,764859,3378
14,2392,2470,764759,1968
15,1388,1434,764705,1156
16,883,913,764661,739
17,534,546,764642,426
18,312,320,764626,253
19,168,174,764618,129
20,125,128,764617,92
21,62,65,764616,53
22,57,59,764614,49
23,27,28,764613,20
24,30,30,764612,26
25,38,39,764612,31
26,26,26,764612,20
27,14,15,764612,10
28,4,4,764612,4
29,0,0,764612,0
