Dataset,HyperCD*,HyperCD++,HyperCD+,HyperCD,Local-core(OPT)
HI,0.0882423,0.08,0.0780135,0.937018,0.858
CO,0.15224,0.15,0.151875,0.377157,0.559
GE,0.718556,0.72,0.687841,5.12932,4.436
DB,1.22879,1.05,1.10682,6.75710333333333,6.331
DF,1.78929,1.7,1.7042,9.95931,9.281
THS,4.75592,4.56,4.48205,23.7712333333333,24.776
AM,12.7749,12.14,12.0783,82.4207333333333,68.728
TAS,4.37931,28800,3.87638,13.5274333333333,18.516
AMZ,450.018,441.95,436.965,2166.62,1691.118
SOA,491.973,479.83,476.593,0,0
POW-S,627.209,630.09,610.859,0,0
POW-L,17907.0,28800,0,0,0
