Dataset,HyperCD*,HyperCD++,HyperCD+,HyperCD,Local-core(OPT)
HI,72128,72192,64168,534432,776296.000
CO,16872,16956,16852,171496,102692.000
GE,128864,128856,128760,1318088,1501104.000
DB,206388,206168,206068,1717344,2208644
DF,270912,270696,270596,2308664,2922780.000
THS,615016,613912,613268,4210944,5770736.000
AM,2014812,2011336,2010808,21631412,27399820
TAS,581072,581014,580124,2333364,3074008.000
AMZ,1291352,1291412,1276248,450575712,311940648.000
SOA,804848,804992,804776,99999999999,99999999999
POW-S,11459604,11452736,11452188,99999999999,99999999999
POW-L,238247192,238244322,99999999999,99999999999,99999999999
