Dataset,HyperCD*,HyperCD++,HyperCD+,HyperCD,Local-core(OPT)
HI,0.1310636,0.36,0.5297535,2.02310133333333,1.00835
CO,0.491408,27.03,0.680274,2.85215366666667,2.60049
GE,1.055483,1.69,2.699401,11.1702433333333,6.79608
DB,2.078194,3.51,8.53486,21.0969033333333,14.26969
DF,3.43,5.58,19.742,39.27621,32.9099
THS,10.3848,17.04,52.78935,120.004433333333,104.8141
AM,17.21056,30.21,54.0939,223.9674,96.6638
TAS,35.80631,57600,75.79138,618.141433333333,143.202
AMZ,472.886,613.95,631.023,13222.92,2130.589
SOA,495.95421,1721.39,494.3891,0,0
POW-S,699.15,878.07,1173.486,0,0
POW-L,20060.31,57600,28800,0,0
